,Recommended Mapping Category,Relevancy Label,refSource,Unnamed: 4,category,label,targetType,adword,mappingModality,version,targetLabel,score,version.1
0,,N,imagenet,,tool,"[""carpenter's kit"", 'tool kit']",inclusion,Automotive|Auto Body Styles,text+video,2,Automotive|Auto Body Styles,0.714540814,2
1,,N,imagenet,,tool,"[""carpenter's kit"", 'tool kit']",inclusion,Style & Fashion|Beauty|Makeup and Accessories,text+video,2,Style & Fashion||Makeup and Accessories,0.740720905,2
2,,L,imagenet,,fruit,"[""jack-o'-lantern""]",inclusion,Food & Drink,text+video,2,Food & Drink,0.733662522,2
3,,N,imagenet,,fruit,"[""jack-o'-lantern""]",inclusion,Food & Drink|Non-Alcoholic Beverages,text+video,2,Food & Drink|Non-Alcoholic Beverages,0.723186143,2
4,,N,imagenet,,fruit,"[""jack-o'-lantern""]",inclusion,Technology & Computing|Consumer Electronics|Tablets and E-readers,text+video,2,Technology & Computing||Tablets and E-readers,0.710570812,2
5,,N,imagenet,,tool,"[""potter's wheel""]",inclusion,Automotive|Auto Body Styles,text+video,2,Automotive|Auto Body Styles,0.742425992,2
6,,N,imagenet,,tool,"[""potter's wheel""]",inclusion,Automotive|Auto Type,text+video,2,Automotive|Auto Type,0.7246243590000001,2
7,,N,imagenet,,tool,"[""potter's wheel""]",inclusion,Automotive|Auto Parts,text+video,2,Automotive|Auto Parts,0.7157813209999999,2
8,,N,imagenet,,tool,"[""potter's wheel""]",inclusion,Automotive|Auto Shows,text+video,2,Automotive|Auto Shows,0.730583031,2
9,,N,imagenet,,tool,"[""potter's wheel""]",inclusion,Shopping|Children's Games and Toys,text+video,2,Shopping|Children's Games and Toys,0.725078068,2
10,,H,imagenet,,flower,"[""yellow lady's slipper"", 'yellow lady-slipper', 'Cypripedium calceolus', 'Cypripedium parviflorum']",inclusion,Shopping|Flower Shopping,text+video,2,Shopping|Flower Shopping,0.790135569,2
11,,N,imagenet,,flower,"[""yellow lady's slipper"", 'yellow lady-slipper', 'Cypripedium calceolus', 'Cypripedium parviflorum']",inclusion,Style & Fashion|Women's Fashion|Women's Accessories|Women's Handbags and Wallets,text+video,2,Style & Fashion|||Women's Handbags and Wallets,0.7369985170000001,2
12,,N,imagenet,,flower,"[""yellow lady's slipper"", 'yellow lady-slipper', 'Cypripedium calceolus', 'Cypripedium parviflorum']",inclusion,Style & Fashion|Women's Fashion|Women's Accessories|Women's Jewelry and Watches,text+video,2,Style & Fashion|||Women's Jewelry and Watches,0.769050171,2
13,,N,imagenet,,flower,"[""yellow lady's slipper"", 'yellow lady-slipper', 'Cypripedium calceolus', 'Cypripedium parviflorum']",inclusion,Style & Fashion|Women's Fashion|Women's Clothing,text+video,2,Style & Fashion||Women's Clothing,0.760922485,2
14,,N,imagenet,,flower,"[""yellow lady's slipper"", 'yellow lady-slipper', 'Cypripedium calceolus', 'Cypripedium parviflorum']",inclusion,Style & Fashion|Women's Fashion|Women's Clothing|Women's Formal Wear,text+video,2,Style & Fashion|||Women's Formal Wear,0.763484788,2
15,,N,imagenet,,flower,"[""yellow lady's slipper"", 'yellow lady-slipper', 'Cypripedium calceolus', 'Cypripedium parviflorum']",inclusion,Style & Fashion|Women's Fashion|Women's Shoes and Footwear,text+video,2,Style & Fashion||Women's Shoes and Footwear,0.778571872,2
16,,N,imagenet,,flower,"[""yellow lady's slipper"", 'yellow lady-slipper', 'Cypripedium calceolus', 'Cypripedium parviflorum']",inclusion,Style & Fashion|Men's Fashion|Men's Clothing,text+video,2,Style & Fashion||Men's Clothing,0.757927425,2
17,,N,imagenet,,flower,"[""yellow lady's slipper"", 'yellow lady-slipper', 'Cypripedium calceolus', 'Cypripedium parviflorum']",inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Casual Wear,text+video,2,Style & Fashion|||Men's Casual Wear,0.7689636320000001,2
18,,N,imagenet,,flower,"[""yellow lady's slipper"", 'yellow lady-slipper', 'Cypripedium calceolus', 'Cypripedium parviflorum']",inclusion,Style & Fashion|Men's Fashion|Men's Clothing|Men's Formal Wear,text+video,2,Style & Fashion|||Men's Formal Wear,0.760055065,2
19,,H,imagenet,,technology,['abacus'],inclusion,Business and Finance|Industries|Technology Industry,text+video,2,Business and Finance||Technology Industry,0.804807504,2
20,,L,imagenet,,technology,['abacus'],inclusion,Science,text+video,2,Science,0.6866416359999999,2
21,,H,imagenet,,clothing,['abaya'],inclusion,Style & Fashion|Women's Fashion|Women's Clothing,text+video,2,Style & Fashion||Women's Clothing,0.763932053,2
22,,H,imagenet,,clothing,['abaya'],inclusion,Style & Fashion|Women's Fashion|Women's Clothing|Women's Formal Wear,text+video,2,Style & Fashion|||Women's Formal Wear,0.7196716590000001,2
23,,N,imagenet,,clothing,['abaya'],inclusion,Style & Fashion|Men's Fashion|Men's Clothing,text+video,2,Style & Fashion||Men's Clothing,0.745973102,2
24,,L,imagenet,,clothing,"['academic gown', 'academic robe', ""judge's robe""]",inclusion,Education|College Education,text+video,2,Education|College Education,0.776230127,2
