IAB Keyword,One_Hop_Edges_Count,Two_Hop_Edges_Count,10 Examples
Science,459,26074,"['b.l.a.s', 'treknology', 'ethnopharmacy', 'theoretician', 'euphenics', 'interpolation', 'chromatics', 'nonscience', 'astrolithology', 'earth_science']"
Real Estate,121,7013,"['increase_in_value', 'fsbo', 'Houses', 'benefit_of_inventory', 'rental_property', 'rancher', 'dino', 'development', 'financials', 'movable']"
Shopping,180,13255,"['buying_food', 'making_purchase', 'debt', 'bankruptcy', 'cost', 'buying_at', 'loss_of_money', 'spending_to_much_money', 'cart', 'looking_for_new']"
Pop Culture,6,455,"['animutation', 'cyberpop', 'popular_culture', 'hot_talk', 'pop_music', 'diner']"
Movies,147,12479,"['amusement', 'row_of_seats', 'act', 'movie_ticket', 'played_in_movie_house', 'tell_stories', 'evoke_laughter', 'good_attraction', 'gory_especially_horror_movies', 'portray_real_life_situations']"
Medical Health,600,19915,"['cardiotocogram', 'anchylosis', 'urology', 'virostatic', 'thoracic_medicine', 'secondary_care', 'gastroenterology', 'microlissencephaly', 'ostalgia', 'keratectasia']"
Education,345,18263,"['finishing_school', 'semestered', 'accreditation', 'ref', 'd.s', 'visiting_scholar', 'ipcc', 'drowning_chain', 'virtue_most_people_value', 'work_study_program']"
Automotive,399,14816,"['mag_wheel', 'midengine', 'nitrous', 'continuously_variable_transmission', 'station_wagon', 'daily', 'bead_breaker', 'catalyst', 'ride_height', 'automobile']"
Events and Attractions,69,8823,"['strip', 'memory', 'Parks & Nature', 'series_of_actions', 'Bars & Restaurants', 'timeline', 'foremath', 'whirlwind', 'current', 'Theater Venues and Events']"
Pets,47,6245,"['Birds', 'lice', 'table', 'plural_of_pet', 'Cats', 'kept_in_cages', 'dog', 'help_make_life_worth_living', 'buying_house', 'provide_love_and_companionship']"
Books and Literature,765,39686,"['book_award', 'bible', 'bluebook', 'bet', 'bookful', 'edubba', 'order_book', 'genre_savvy', 'learning_about_olympic_sports', 'readable']"
Television,488,19533,"['informative', 'ghosting', 'dramedy', 'microchannel', 'quad_play', 'televisional', 'teleprompter', 'soap_opera', 'south_park', 'telecourse']"
Music and Audio,667,45529,"['camcorder', 'rasikapriya', 'vibrato', 'intersperser', 'tyrolienne', 'polyphonic', 'panning', 'sequence_of_sounds', 'fakebit', 'minor_sixth']"
Travel,449,34501,"['metal', 'on_vacation', 'canoe_camping', 'joining_army', 'pnr', 'airport_book', 'boat', 'lift_scheme', 'tram', 'bang']"
Home & Garden,611,53999,"['compost', 'homemade', 'formal_garden', 'housecare', 'clothes_closet', 'nest', 'elderly_people', 'white_house', 'gardener', 'undomestication']"
Hobbies & Interests,31,3333,"['look_out_for_number_one', 'hobby', 'hobbyism', ""broaden_someone's_horizons"", 'person', 'Games and Puzzles', 'Card Games', 'comprador_bourgeoisie', 'royalism', 'funemployment']"
Video Gaming,5,475,"['loot_box', 'grinded', 'chat', 'body', 'videogaming']"
Technology & Computing,991,37462,"['pinvoke', 'subprogram', 'technofascism', 'speedup', 'asciify', 'technofetishist', 'fixed_point', 'sier', 'technomanagerial', 'photoradar']"
Healthy Living,6,1000,"['exercising', 'cleaning', 'Fitness and Exercise', 'Wellness', 'getting_fit', 'cleaning_room']"
Sports,325,19559,"['nyy', 'ice_queen', 'field_sports', 'big_show', 'ind', 'home_ground', 'crowd', 'postshot', 'dribbler', 'wr']"
Food & Drink,28,1674,"['pet_food', 'boiled_food', 'hot_thing', 'food_item', 'Alcoholic Beverages', 'à_la_carte', 'feed', 'Barbecues and Grilling', 'japanese_food', 'fresh_food']"
Fine Art,13,1964,"['art', 'second_distance', 'dance', 'fine_arts', 'vertu', 'down_to_fine_art', 'fine', 'museum', 'exact', 'skill']"
Religion & Spirituality,330,17417,"['temple', 'attributeless', 'hadith', 'nontheism', 'tengrism', 'heaven', 'theocracy', 'religiocide', 'powerful_force', 'quakerization']"
Family and Relationships,879,36539,"['ctenophore_family', 'topicity', 'work_life', 'cynocephalid', 'mom_cave', 'larine', 'koseki', 'farm_potatoes', 'far_flung', 'family_medicine']"
Style & Fashion,684,38386,"['poufy', 'ambidextrous', 'transition', 'inartistic', ""Women's Shoes and Footwear"", 'concerning_clothing', 'costume', 'rag_trade', 'workability', 'titianesque']"
Business and Finance,439,22619,"['onsell', 'enterprise', 'organization', 'board_of_appeals', 'multibusiness', 'slang', 'lbo', 'real_estate_firm', 'revlon_mode', 'ideation']"
Religious Events,0,0,[]
Air Travel,45,4235,"['helicopter_travel', 'disinsection', 'disinsect', 'fly_contact', 'aviation', 'fly_blind', 'aerocentric', 'airwise', 'crash_dive', 'deplane']"
Musical Instruments,221,5754,"['timbal', 'ectara', 'hyperbass_flute', 'tsymbaly', 'water_organ', 'sarrusophone', 'tenor_saxophone', 'make_music', 'clavichord', 'aulos']"
Wellness,10,3227,"['well', 'disease', 'condition', 'well_being', 'wellnesses', 'person', 'health', 'fit', 'quality', 'state']"
Asia Travel,0,0,[]
Consumer Electronics,43,2180,"['media_control_unit', 'Smartphones', 'sony', 'best_buy', 'cb', 'electric_instrument', 'electronic_typewriter', 'hi_fi', 'nec', 'virtual_pet']"
Graduation,61,6241,"['vernier', 'educational_institution', 'cap', 'interval', 'ceremony', 'academic', 'event', 'graduations', 'graduational', 'passing_class']"
Travel Locations,106,4498,"['jungle_tourism', 'Europe Travel', 'ecotourism', 'nanded_district', 'thanatourism', 'swan_boat', 'open_door_policy', 'faith_tourism', 'South America Travel', 'poorism']"
Commercial Trucks,0,0,[]
Theater Venues and Events,275,23830,"['supernumerary', 'venue', 'person', 'guffmanesque', 'stock_company', 'snoot', 'new_york', 'spot_lights', 'coach_seat', 'action_figure']"
Station Wagon,26,4179,"['sport_utility_vehicle', 'boot', 'station_wagons', 'sedan', 'way_way_back', 'beach_wagon', 'ute', 'woodie', 'microbus', 'australia']"
Dogs,265,17788,"['get_lost', 'need_food', 'litter_of_offspring', ""n't_eaten_in_days"", 'appear_intelligent', 'small', 'require_water', 'fleas', 'evil', 'mark_trees']"
Concerts & Music Events,156,14239,"['theatre', 'contralto', 'stand_in_line', 'gate_receipts', 'concertion', 'dam', 'postconcert', 'john_tesh', 'in_concert', 'musical_evening']"
Grocery Shopping,4,432,"['shopping', 'getting_in_line', 'having_food', 'going_to_market']"
Hair Care,8,718,"['care', 'hairdressing', 'haircare', 'comb', 'health_and_beauty_product', 'brush', 'shampoo', 'hairweaving']"
Landscaping,27,3058,"['brandscaping', 'xeriscaping', 'gardening', 'university', 'intelligent_agent_activity', 'making', 'find_outside', 'landscape_gardening', 'parkomania', 'action_performed_by_animals']"
Aviation Industry,0,0,[]
Africa Travel,0,0,[]
Cameras and Camcorders,294,17102,"['photo_device', 'teleconverter', 'truman_show_delusion', 'one_shot', 'cable_release', 'iconoscope', 'wriststrap', 'autoflash', 'equipment', 'minicam']"
Entertainment Industry,18,811,"['tuner', 'industry', 'show_biz', 'pubcaster', 'sudser', 'tooner', 'holding_deal', 'ola', 'breakaway', 'romancer']"
Beauty,218,19838,"['prettiness', 'surasundari', 'appearance', 'anticosmetic', 'delight_people', 'pretty', 'niceness', 'three_vowels', 'aestheticism', 'property']"
Oral care,149,8458,"['patients', 'care', 'paper_cups', 'dental_surgeon', 'pedodontist', 'dentistlike', 'chair', 'repairing_damage_done_to_teeth', 'dental_floss', 'toothpaste']"
Smartphones,1,59,['smartphone']
Cats,170,9805,"['four_legs', 'go_outside', 'mamals', 'play_with_food', 'open_doors', 'animals_and_often_live_outside', 'tigers', 'mind_of_thier_own', 'jump_amazingly_high', 'let_birds_live']"
Auto Parts,1,28,['footplate']
Europe Travel,0,0,[]
Fitness and Exercise,483,36625,"['singlestick', 'keep_fit', 'work', 'scrimmage', 'activity_to_maintain_health', 'manor', 'commencement', 'run', 'hiking', 'physical_education']"
Dating,60,3668,"['kiss', 'dance_club', 'indiction', 'rubidium_strontium', 'improving_image', 'lichenometry', 'eating_in_restaurant', 'chemical_analysis', 'radioactive_dating', 'hatfish']"
Home Entertaining,9,1047,"['recreation', 'recreational', 'recreative', 'recreation_center', 'camp', 'recreation_areas', 'recreation_ground', 'park', 'recreation_centre']"
Van,162,14807,"['large', 'sliding', ""neighbor's_house"", 'transit', 'vanette', 'ambulette', 'ivan', 'turkish_van', 'splittie', 'wheels']"
Flower Shopping,2,120,"['toy_balloon', 'anemone']"
Bath and Shower,378,34689,"['substance', 'dress_nice', 'cleaning_oneself', 'wet_room', 'beyond', 'light', 'l', 'apparatus', 'showereth', 'bath_book']"
Media Industry,0,0,[]
Gardening,79,5045,"['prune', 'handplant', 'sprout', 'tobacco_water', 'nicotiana', 'sweat', 'intentional_cultivation_of_plants', 'trade', 'get_clean', 'gaining_more_land']"
Fashion Events,23,3880,"['week', 'audience', 'one', 'last', 'approximately', 'display', 'fashion', 'brand', 'displaying_of_wearable_items', 'advertising']"
Road-Side Assistance,0,0,[]
Bars & Restaurants,710,53668,"['rotor', 'mumbo_sauce', 'patronne', 'goal', 'turnbuckle', 'grid', 'barfly', 'granola_bar', 'cake', 'guests']"
Camping,53,4037,"['camper_shell', 'lantern', 'campings', 'start_fire', 'tenting', 'campability', 'camping_site', 'rougher_than_living_in_home', 'done_at_campgrounds', 'canoe_camping']"
College Education,2,127,"['further_earning_potential', 'get_job']"
Coupe,12,2472,"['coupes', 'door', 'dessert', 'car', 'coupeville', 'ice_cream', 'limousine', 'us', 'coupé', 'glass']"
Nail Care,1,42,['manicure']
Children's Games and Toys,462,31163,"['furby', 'cartesian_diver', 'graffiti_artist', 'squirt_gun', 'miniature', 'toy_bear', 'usually_fun', 'playing_with', 'object', 'fairy_kei']"
Convertible,99,12997,"['landaulet', 'undergo', 'conversion', 'semiconvertible', 'usually', 'exchangeable', 'computing', 'turned_into', 'adaptable', 'photoconvertible']"
Zoos & Aquariums,243,23266,"['oceanarium', 'animal', 'aquariumlike', 'panda_bears', 'person', 'aquascape', 'wild_dogs', 'reptile_room', 'glass', 'exotic_animals']"
Hospitality Industry,2,20,"['fam', 'walk_policy']"
Prom,39,4861,"['high_school', 'prom_goer', 'rom', 'concert', 'write_once', 'dress', 'eeprom', 'promgoer', 'dance', 'semiconductor_memory']"
Home Improvement,9,1224,"['power_screwdriver', 'home_repair', 'home_depot', 'home_maintenance', 'painting', 'human_activity', 'equity', 'action_on_object', 'paint']"
Household Supplies,1,175,['supermarket']
Education industry,1206,71445,"['college', 'university_department', 'honor_roll', 'day_school', 'thesis', 'radio', 'doctor', 'mimetic', 'schoolless', 'edu']"
Holiday Shopping,20,3322,"['yuletide', 'christmastime', 'hanukkah', 'advent', 'holiday', 'holidays', 'canada', 'thanksgiving', 'christmastide', 'us']"
Motorcycles,9,732,"['whip', 'motorcycle', 'two_wheels', 'corner_well', 'go_from_place_to_place', 'tough', '2_wheels', 'helmet', 'economical']"
Dining Out,5,142,"['eating_meal', 'eating_place', 'order_dessert', 'meet_friend', 'dining_at_restaurant']"
Makeup and Accessories,115,9579,"['drag_queen', 'constitution', 'facial_cream', 'appearance', 'used_women', 'enhance', 'eyeliner', 'cold_cream', 'brownface', 'primer']"
Smart Home,4,51,"['internet_of_things', 'domotic', 'automation', 'smart_homes']"
Travel Accessories,0,0,[]
Auto Type,2,10,"['Green Vehicles', 'Luxury Cars']"
Perfume and Fragrance,157,8738,"['civetlike', 'atomizer', 'rose_oil', 'substance', 'copaiba', 'vial', 'essential_oil', 'stink_pretty', 'civeted', 'musk']"
Single Life,8,602,"['life_assured', 'insure', 'insurance_policy', 'life', 'joint_life', 'single_lives', 'insurance', 'life_insurance']"
Telecommunications Industry,6,12,"['naics_satellite_telecommunications', 'naics_information', 'naics_other_telecommunications', 'naics_wired_telecommunications_carriers', 'infrastructure_industry', 'wireless_telecommunications_industry']"
Automotive Industry,8,891,"['porsche', 'serbia', 'tehran', 'automotive_industry', 'shape_memory_alloy', 'car', 'industry', 'mitsubishi']"
North America Travel,0,0,[]
Home Security,0,0,[]
Malls & Shopping Centers,251,20944,"['fast_food_restaurant_counter', 'shopping_plaza', 'mall_walking', 'north_america', 'merchant', 'area', 'stamp_rack', 'economies_of_scale_for_advertising', 'special_events', 'meeting_people']"
Luxury Cars,0,0,[]
Barbecues and Grilling,33,4431,"['brisket', 'small_dog', 'good_way_too_cook', 'going_outside_for_evening', 'good_way_to_prepare_food', 'barbequed', 'toaster', 'broiling', 'light_match', 'piece_of_coal']"
Parks & Nature,21,5470,"['bench', 'doggy_bag', 'normally_in_cities', 'public', 'statue', 'court', 'garden', 'tree', 'dog', 'place']"
Tablets and E-readers,4,439,"['tablet', 'orange_sunshine', 'pain', 'edubba']"
Personal Celebrations & Life Events,4,773,"['Prom', 'Graduation', 'Birthday', 'Wedding']"
Hotel Properties,271,17708,"['hotelman', 'hotel_organization', 'dubai', 'apartelle', 'hotelwide', 'night_table', 'multihotel', 'touristic_area', 'staying_away_from_home', 'miscellaneous_charge_order']"
Green Vehicles,10,662,"['new_energy_vehicle', 'icev', 'electric_vehicles', 'fuel_cell_vehicle', 'neighborhood_electric_vehicle', 'electric_motor', 'ev', 'charging_station', 'propulsion', 'vehicle']"
Birds,150,14741,"['head_south', 'feather', 'park', 'eggs', 'wings_and_most_birds_can_fly', 'many_feathers', 'countryside', 'peewit', 'rap_music', 'air']"
Minivan,11,688,"['car', 'people_carrier', 'passenger_van', 'sport_utility_vehicle', 'breedermobile', 'kombi', 'one_type_of_vehicle', 'matatu', 'minivans', 'van']"
Deodorant and Antiperspirant,68,3439,"['medicine_cabinet', 'reducing_body_odor', 'topically_applied_substance', 'underarm', 'grocery_store', 'masking_body_odor', 'anti_perspirant', 'cover_smell_of_human', 'useful_for_neutralizing_body_odours', 'deodourant']"
Outdoor Activities,0,0,[]
Shaving,68,6023,"['sawing', 'fibreboard', 'boring', 'shaving_brush', 'primping', 'controlled_vocabulary_types', 'erasings', 'changing_appearance', 'shavings', 'quick_vinegar']"
Rail Travel,3,448,"['train_travel', 'transportation_of_people', 'travel']"
Financial Industry,4,324,"['services_sector', 'naics_finance_and_insurance', 'banking_industry', 'industry']"
Non-Alcoholic Beverages,0,0,[]
Cooking,428,27766,"['bonbon', 'makhani', 'grease_fire', 'prepare_food', 'dress', 'chicken_finger', 'eating', 'cooked_food', 'extractor_hood', 'truss']"
Museums & Galleries,12,1950,"['mural', 'popular_travel_destinations', 'gallery', 'artist', 'museum', 'places_with_exhibits', 'modern', 'statue', 'case', 'large_buildings']"
Sedan,57,12648,"['county_seat', 'montana', 'saloon', 'notchback_sedan', 'chautauqua_county', 'chair', 'car', 'ardennes', 'trunk', 'appanoose_county']"
Primary Education,8,1870,"['education', 'united_kingdom', 'secondary_education', 'primary_education', 'school', 'standard', 'primary_school', 'preprimary']"
Technology Industry,1,306,['industry']
Space and Astronomy,837,44666,"['resurgent', 'hydrospace', 'graveyard_orbit', 'thick_space', 'word', 'ost', 'tesseractic', 'path_loss', 'final_frontier', 'antispace']"
Land and Farms,584,42526,"['fields', 'on_prem', 'backdam', 'stewartry', 'farm', 'holloway', ""no_man's_land"", 'lot', 'gold_farmer', 'bootheel']"
World Cuisines,0,0,[]
Remodeling & Construction,403,19643,"['bush_pole', 'fill', 'baseline', 'roof_square', 'rebarred', 'biped', 'air_hammer', 'habitual', 'shuttering', 'ejusdem_generis']"
Apparel Industry,5,314,"['fashion_business', 'garment_industry', 'fashion_industry', 'industry', 'rag_trade']"
Board Games and Puzzles,312,16692,"['at_toys_r_us', 'word_square', 'consits_of_few_similar_pieces', 'tower_of_london_test', 'entertaintment', 'enigmatology', 'toy_store', 'enigmatography', 'paradox', 'rebus']"
Women's Shoes and Footwear,80,5857,"['foot', 'shoe_shop', 'high_heeled', 'goods', 'insole', 'moon_boot', 'parking_inspectors', 'ladieswear', 'soot_where', 'foot_kiss']"
Logistics and Transportation Industry,44,4235,"['supply_line', 'logistical', 'outbound', 'logistics', 'waging_war', 'operations', 'logistician', 'industry', 'inbound', 'intralogistics']"
Birthday,463,28549,"['happy_what', 'progression', 'has', 'with_cake', 'holiday', 'annual_age', 'death', 'candle', 'surprising', 'enjoy_company_of_friends']"
Food Industry,2,21,"['staling', 'aseptic']"
Daycare and Pre-School,33,2303,"['reception', 'preschools', 'care', 'family_grouping', 'nursery_school', 'preschooled', 'primary_school', 'playschool', 'children_whose_parents_go_to_work', 'creche']"
Men's Clothing,28,655,"[""men's_shorts"", ""young_men's_clothing"", ""men's_boot"", 'kilt', ""men's_shirt"", 'dinner_jacket', ""men's_clothing_accessory"", 'jockey_shorts', 'wing_tip_shoe', 'clothing']"
SUV,11,529,"['suvs', 'sport_utility_vehicle', 'xuv', 'expedition', 'van', 'wagon', 'softroader', 'sport_utility', 'chelsea_tractor', 'cuv']"
Casinos & Gambling,233,16116,"['wampumgate', 'ludomania', 'gambling_house', 'hand', 'martingale', 'what_gambler_does', 'english_disease', 'post_and_pair', 'locksmith', 'gambling_casino']"
Retail Property,7,2005,"['vending_stand', 'facility', 'mobile_retail_outlet', 'tangible_thing', 'mall', 'store', 'spatial_thing']"
Retail Industry,162,8915,"['nonchain', 'retail_park', 'peelie', 'mobile_retail_outlet', 'wholesale', ""santa's_workshop"", 'lay_by', 'retail', 'symbol_group', 'sell']"
Healthcare Industry,2,307,"['industry', 'hospital_industry']"
Games and Puzzles,386,23238,"['squash_court', 'british_bulldog', 'game', 'two_up', 'riddle', 'control', 'teaser', 'baseball', 'rock_paper_scissors', 'tip_can']"
Desserts and Baking,308,16433,"['semifreddo', 'split', 'windowpaning', 'death_by_chocolate', 'follow_recipe', 'sticky_toffee_pudding', 'apple_turnover', 'oil', 'jelly', 'bread_and_butter_pudding']"
Apartments,14,1728,"['apartment_house', 'rent', 'block_of_flats', 'balconys', 'rented', 'chute', 'unit', 'built_on_ground_floor', 'apartment', 'city']"
