IAB Keyword,One_Hop_Edges_Count,10 Examples
Science,3518,"['Expressive_power_(computer_science)', 'Marian_Koshland_Science_Museum', 'Minister_of_Energy,_Science,_Technology,_Environment_and_Climate_Change_(Malaysia)', 'Trends_(journals)', 'Saint_Louis_Science_Center', 'Perihelion_Science_Fiction', 'Force_field_(fiction)', 'Hanns_Martin_Schleyer_Foundation', 'Size_change_in_fiction', 'Military_Institute_of_Science_and_Technology']"
Real Estate,330,"['Pennsylvania_Real_Estate_Investment_Trust', 'Daniels_College_of_Business', 'Chevron_Corporation', 'Healthcare_real_estate', 'Prudential_Financial', 'Association_of_Real_Estate_Taxpayers', 'Real_estate_in_Panama', 'GE_Capital', 'Link_REIT', 'KEYreit']"
Shopping,569,"['Sylvania,_New_South_Wales', 'Olympus_Hills_Shopping_Center', 'List_of_shopping_centres_in_Australia', 'MetroCentre_(shopping_centre)', 'Chirnside_Park_Shopping_Centre', 'Union_Square_Aberdeen', 'Zolitūde_shopping_centre_roof_collapse', 'Armadale,_Western_Australia', 'List_of_Westfield_shopping_centres', 'Danbury_Fair_(shopping_mall)']"
Pop Culture,2700,"['Hype_(TV_series)', 'Devil_(disambiguation)', 'ECW_Press', 'Automat', 'Nightclubbing_(Grace_Jones_album)', 'Driven_To_Perform', 'Mark_Fisher', 'List_of_awards_and_nominations_received_by_Sam_Smith', 'Cecilia_Dougherty', ""Panahon_Ko_'to!:_Ang_Game_Show_ng_Buhay_Ko""]"
Movies,1734,"['Pokémon_the_Movie:_Kyurem_vs._the_Sword_of_Justice', 'The_Lego_Movie_2_Videogame', 'Dirty_Sanchez_(TV_series)', 'Invader_Zim:_Enter_the_Florpus', 'Bratz_Babyz', 'Town_&_Country_(film)', 'Titanic_(1997_film)', 'Hiroshima:_The_Movie', ""Win's_Entertainment"", 'American_Movie']"
Medical Health,325,"['Bryan_Health', 'Disease', 'National_Health_and_Medical_Research_Council', 'Estradiol_(medication)', ""Dignity_Health_St._Joseph's_Hospital_and_Medical_Center"", 'Universal_Health_Services', 'Parkview_Health', 'Augusta_University_Medical_Center', 'Healthcare_in_Thailand', 'Medical_tourism']"
Education,7175,"['Hasan_Abdullah_Ismaik', 'Treasure_Cove!', 'Visa_policy_of_the_United_States', 'Noel_Pearson', 'Easmon_family', 'Ingetraut_Dahlberg', 'Phyllis_Wallbank', 'Polygamy_in_Bahrain', 'Sanusi_Ohiare', 'Ali_Shah_Bukhari']"
Automotive,338,"['NAMI_(automotive_institute)', 'Automotive_lighting', 'Fachhochschule', 'Carver_(automotive_company)', 'Automotive_X_Prize', 'SAIC_Motor', 'Car_dealership', 'Rallying', 'Australian_Manufacturing_Workers_Union', 'Automotive_Crash_Injury_Research_Center']"
Events and Attractions,812,"['Earthquake', 'Microearthquake', '2015_European_Diving_Championships_–_Team_event', 'Pegasus_(Efteling)', 'Magnetic_reconnection', 'GRB_080319B', 'Pro_Challenge_Series_–_Event_5', 'Ball_(dance_party)', 'Sprint_(running)', 'Diving_at_the_2014_European_Aquatics_Championships_–_Team_event']"
Pets,387,"['Hermit_crab', 'List_of_Penthouse_Pets', 'Littlest_Pet_Shop', 'Ferret', 'Pet–friendly_hotels', 'Brian_Wilson_Presents_Pet_Sounds_Live', 'Veterinary_medicine', 'Chinchilla', 'Tub_Ring', 'Gary_Dahl_(entrepreneur)']"
Books and Literature,4190,"['Motif_(narrative)', 'The_Cup_(book)', 'Book_of_Southern_Tang_(Ma_Ling)', 'Chiaroscuro_(IDW_Publishing)', 'Office_of_Film_and_Literature_Classification', 'Lanford_Wilson', 'Tie-in', 'The_Big_Book_Of', 'Book_of_Dede_Korkut', 'Open-access_monograph']"
Television,2903,"['Dr._Bhupen_Hazarika_Regional_Government_Film_and_Television_Institute', ""Children's_programming_on_ABC_Television"", 'WTTV', 'HKTV', '2016–17_United_States_network_television_schedule_(daytime)', 'Gala_Television', '1987–88_United_States_network_television_schedule', 'The_Avengers_(TV_series)', 'Vintage_Television', 'Grampian_Television']"
Music and Audio,6644,"['Music_(disambiguation)', 'Sanremo_Music_Festival_1990', 'List_of_early_music_ensembles', 'Output', 'Sub-Saharan_African_music_traditions', 'Mákina', 'Digital_Audio_Broadcasting', 'Focusrite', 'Modular_music', 'Xfinity_Theatre']"
Travel,812,"['Travelport', 'One_Man_and_His_Bog', 'Drug_tourism', 'Voucher', 'Blackout_date', 'East_Surrey_College', 'The_Sound_of_His_Horn', 'Weg!', 'Ian_Wright_(traveller)', 'List_of_exports_of_Australia']"
