IAB Keyword,Edges_Count
Science,459
Real Estate,121
Shopping,180
Pop Culture,6
Movies,147
Medical Health,600
Education,345
Automotive,399
Events and Attractions,69
Pets,47
Books and Literature,765
Television,488
Music and Audio,667
Travel,449
Home & Garden,611
Hobbies & Interests,31
Video Gaming,5
Technology & Computing,991
Healthy Living,6
Sports,325
Food & Drink,28
Fine Art,13
Religion & Spirituality,330
Family and Relationships,879
Style & Fashion,684
Business and Finance,439
Religious Events,0
Air Travel,45
Musical Instruments,221
Wellness,10
Asia Travel,0
Consumer Electronics,43
Graduation,61
Travel Locations,106
Commercial Trucks,0
Theater Venues and Events,275
Station Wagon,26
Dogs,265
Concerts & Music Events,156
Grocery Shopping,4
Hair Care,8
Landscaping,27
Aviation Industry,0
Africa Travel,0
Cameras and Camcorders,294
Entertainment Industry,18
Beauty,218
Oral care,149
Smartphones,1
Cats,170
Auto Parts,1
Europe Travel,0
Fitness and Exercise,483
Dating,60
Home Entertaining,9
Van,162
Flower Shopping,2
Bath and Shower,378
Media Industry,0
Gardening,79
Fashion Events,23
Road-Side Assistance,0
Bars & Restaurants,710
Camping,53
College Education,2
Coupe,12
Nail Care,1
Children's Games and Toys,462
Convertible,99
Zoos & Aquariums,243
Hospitality Industry,2
Prom,39
Home Improvement,9
Household Supplies,1
Education industry,1206
Holiday Shopping,20
Motorcycles,9
Dining Out,5
Makeup and Accessories,115
Smart Home,4
Travel Accessories,0
Auto Type,2
Perfume and Fragrance,157
Single Life,8
Telecommunications Industry,6
Automotive Industry,8
North America Travel,0
Home Security,0
Malls & Shopping Centers,251
Luxury Cars,0
Barbecues and Grilling,33
Parks & Nature,21
Tablets and E-readers,4
Personal Celebrations & Life Events,4
Hotel Properties,271
Green Vehicles,10
Birds,150
Minivan,11
Deodorant and Antiperspirant,68
Outdoor Activities,0
Shaving,68
Rail Travel,3
Financial Industry,4
Non-Alcoholic Beverages,0
Cooking,428
Museums & Galleries,12
Sedan,57
Primary Education,8
Technology Industry,1
Space and Astronomy,837
Land and Farms,584
World Cuisines,0
Remodeling & Construction,403
Apparel Industry,5
Board Games and Puzzles,312
Women's Shoes and Footwear,80
Logistics and Transportation Industry,44
Birthday,463
Food Industry,2
Daycare and Pre-School,33
Men's Clothing,28
SUV,11
Casinos & Gambling,233
Retail Property,7
Retail Industry,162
Healthcare Industry,2
Games and Puzzles,386
Desserts and Baking,308
Apartments,14
Wedding,210
Large Animals,1
Desktops,1
Laptops,6
Home Appliances,0
Hotels and Motels,29
Awards Shows,3
Parenting,25
Auto Body Styles,9
Houses,98
Beach Travel,248
Auto Repair,0
Polar Travel,420
Women's Clothing,42
South America Travel,0
Office Property,0
Comedy Events,149
Reptiles,23
Pickup Trucks,2
Alcoholic Beverages,10
Card Games,222
Auto Rentals,19
Cruises,3
Cinemas and Events,158
Auto Shows,1
Individual Brands,0
Women's Formal Wear,17
Women's Handbags and Wallets,326
Men's Casual Wear,9
Women's Jewelry and Watches,317
Australia and Oceania Travel,0
Men's Formal Wear,13
