,item,predictions,cosine_predicted
0,crane,Birds,0.8378298199884091
1,crane,Commercial Trucks,0.8277898476538564
2,crane,Cruises,0.8265106621144949
3,crane,Pickup Trucks,0.8205483425952855
4,crane,Convertible,0.8165465299366603
5,crane,Cats,0.8131685746414574
6,crane,SUV,0.8124236745740587
7,crane,Coupe,0.8113171293708001
8,crane,Minivan,0.8110019042756476
9,crane,Travel,0.8096419929913541
10,crane,Camping,0.8066541671929572
11,crane,Large Animals,0.8063082818796277
12,crane,Sports,0.8049265474694202
13,crane,Beauty,0.8044855594912272
14,crane,Movies,0.8042797041424219
15,disk brake,Commercial Trucks,0.7682456657860165
16,auto_factory,Auto Type,0.9055098017340024
17,auto_factory,Auto Repair,0.8598426449097236
18,auto_factory,Auto Parts,0.853416634900056
19,auto_factory,Auto Shows,0.8457480531999029
20,auto_factory,Automotive,0.8384441330680961
21,auto_factory,Auto Body Styles,0.8375136448998761
22,auto_factory,Automotive Industry,0.8276662340548573
23,auto_factory,Auto Rentals,0.8274624720760604
24,auto_factory,Luxury Cars,0.8030960428927147
25,cab,Coupe,0.8393503176519492
26,cab,SUV,0.8297233402149344
27,cab,Station Wagon,0.8285661352969934
28,cab,Commercial Trucks,0.8277407860150747
29,cab,Travel,0.8251504074824868
30,cab,Minivan,0.8249323892413947
31,cab,Convertible,0.8231886196188771
32,cab,Pickup Trucks,0.8200567503380651
33,cab,Rail Travel,0.8024451921903273
34,cab,Motorcycles,0.8014964335343451
35,cab,Beauty,0.8013331125980337
36,cab,Automotive,0.7980057953259787
37,cab,Auto Body Styles,0.7855792563840721
38,car mirror,Auto Parts,0.8361193328650507
39,car mirror,Auto Repair,0.8321949567274403
40,car mirror,SUV,0.8309413850113094
41,car mirror,Auto Body Styles,0.8308464272430323
42,car mirror,Minivan,0.8285399546226693
43,car mirror,Automotive,0.8258208854566708
44,car mirror,Auto Shows,0.8252498875492357
45,car mirror,Luxury Cars,0.8197314046954434
46,car mirror,Auto Type,0.8195683609452084
47,car mirror,Coupe,0.8190308589667551
48,car mirror,Green Vehicles,0.814058523187095
49,car mirror,Station Wagon,0.8123699525580713
50,car mirror,Commercial Trucks,0.808658398257997
51,car mirror,Road-Side Assistance,0.8060557896275028
52,car mirror,Beauty,0.8053233570562872
53,racer,SUV,0.8290563362893257
54,racer,Coupe,0.8289848072853552
55,racer,Convertible,0.8208302052429965
56,racer,Motorcycles,0.8134362270139028
57,racer,Sports,0.813338826325853
58,racer,Minivan,0.8129312077342791
59,racer,Games and Puzzles,0.8057909509480186
60,racer,Automotive,0.7962126830958423
61,racer,Auto Body Styles,0.779408654642507
62,Motorbike,Motorcycles,0.9548627324766569
63,Motorbike,SUV,0.8448876184119471
64,Motorbike,Minivan,0.8429907886519661
65,Motorbike,Automotive,0.8339627934525058
66,Motorbike,Laptops,0.8254684691203468
67,Motorbike,Travel Accessories,0.824100282331635
68,Motorbike,Green Vehicles,0.8229638644227901
69,Motorbike,Rail Travel,0.8209615117410146
70,Motorbike,Coupe,0.8208371344134063
71,Motorbike,Commercial Trucks,0.8163234611145067
72,Motorbike,Luxury Cars,0.8151458404129057
73,Motorbike,Travel,0.8151337516530281
74,Motorbike,Road-Side Assistance,0.814123937824009
75,Motorbike,Smartphones,0.8139562042969589
76,Motorbike,Auto Rentals,0.8129887752868633
77,Wheel,Travel,0.8319554637439286
78,Wheel,Station Wagon,0.8278074189211245
79,Wheel,Motorcycles,0.8236241499176868
80,Wheel,Sports,0.8189843673996874
81,Wheel,Convertible,0.8186633329975261
82,Wheel,Minivan,0.8168494892632121
83,Wheel,Beauty,0.813582025121248
84,Wheel,SUV,0.8133221962979378
85,Wheel,Coupe,0.8121057899498267
86,Wheel,Movies,0.8103648816053313
87,Wheel,Commercial Trucks,0.8084790071113368
88,Wheel,Auto Parts,0.8063245758052688
89,Wheel,Shopping,0.8053541002120819
90,Wheel,Green Vehicles,0.8041217907340772
91,Wheel,Dating,0.8036801361375918
92,convertible,Convertible,0.9077280283872271
93,convertible,Minivan,0.8442130295316695
94,convertible,Coupe,0.8435414403870316
95,convertible,SUV,0.8386518226810723
96,convertible,Station Wagon,0.8295642516856778
97,convertible,Green Vehicles,0.8196459099845412
98,convertible,Automotive,0.8196432225968311
99,convertible,Luxury Cars,0.8173417689689353
100,convertible,Commercial Trucks,0.8127211734529327
101,convertible,Pickup Trucks,0.8039628061823924
102,convertible,Auto Shows,0.8038729453297777
103,convertible,Laptops,0.8021754158186549
104,convertible,Auto Type,0.8013118973369292
105,convertible,Auto Body Styles,0.7858747006254079
106,Acoustic guitar,Musical Instruments,0.8852981146832861
107,Acoustic guitar,Music and Audio,0.8265893322635476
108,Acoustic guitar,Laptops,0.8083074019040921
109,Acoustic guitar,Consumer Electronics,0.8020799088873092
110,Acoustic guitar,Hobbies & Interests,0.783483534917686
111,Acoustic guitar,Technology & Computing,0.7730388650118102
112,auto_showroom,Auto Shows,0.9117273044785971
113,auto_showroom,Auto Repair,0.8825967258473619
114,auto_showroom,Automotive,0.8746208093559149
115,auto_showroom,Auto Parts,0.8740863485823331
116,auto_showroom,Automotive Industry,0.8631904064952725
117,auto_showroom,Auto Type,0.8606806276258612
118,auto_showroom,Auto Rentals,0.8602121009321413
119,auto_showroom,Luxury Cars,0.8558164054049593
120,auto_showroom,Auto Body Styles,0.8500627188301808
121,auto_showroom,Minivan,0.834618568498718
122,auto_showroom,Station Wagon,0.8333899404986619
123,auto_showroom,SUV,0.831312984230552
124,auto_showroom,Green Vehicles,0.8311573874271281
125,auto_showroom,Shopping,0.8250092337057406
126,auto_showroom,Commercial Trucks,0.824408123106388
127,passenger car,Minivan,0.8754191417944939
128,passenger car,Station Wagon,0.8729476041305845
129,passenger car,SUV,0.8654787257769136
130,passenger car,Automotive,0.8640903408207661
131,passenger car,Commercial Trucks,0.8578490240621719
132,passenger car,Coupe,0.8542730922711104
133,passenger car,Green Vehicles,0.8521265212159952
134,passenger car,Luxury Cars,0.8490583768562601
135,passenger car,Automotive Industry,0.834635030429483
136,passenger car,Auto Rentals,0.8321810442590111
137,passenger car,Pickup Trucks,0.8275149608218431
138,passenger car,Air Travel,0.8269310928130956
139,passenger car,Auto Parts,0.8256726833148136
140,passenger car,Convertible,0.8252602896001651
141,passenger car,Rail Travel,0.8242004082514165
142,pickup,Pickup Trucks,0.8892956500072393
143,pickup,Shopping,0.859668941120563
144,pickup,Convertible,0.8482077959602629
145,pickup,Travel,0.8451034139989899
146,pickup,Minivan,0.841563156589188
147,pickup,SUV,0.8385507356659153
148,pickup,Auto Rentals,0.8380366186244759
149,pickup,Station Wagon,0.8372961653408927
150,pickup,Commercial Trucks,0.8336560567149075
151,pickup,Prom,0.8321823000007242
152,pickup,Dating,0.8319788330840271
153,pickup,Coupe,0.8301709114683784
154,pickup,Beauty,0.8286887442651036
155,pickup,Sports,0.8245779624824136
156,pickup,Grocery Shopping,0.8217778342096898
157,pickup,Green Vehicles,0.8214115095147398
158,pickup,Camping,0.8203082205809349
159,pickup,Movies,0.8201486010526724
160,Truck,Commercial Trucks,0.9203110076035331
161,Truck,Pickup Trucks,0.901336622421127
162,Truck,SUV,0.8842216928898179
163,Truck,Minivan,0.8818399462668666
164,Truck,Station Wagon,0.862067710365145
165,Truck,Coupe,0.8570936458063446
166,Truck,Automotive,0.8423994396969214
167,Truck,Green Vehicles,0.8406588359205592
168,Truck,Motorcycles,0.8384276647071078
169,Truck,Large Animals,0.826054705036905
170,Truck,Rail Travel,0.8244283667635173
171,Truck,Camping,0.8225421784034112
172,Truck,Dogs,0.8206263893344705
173,Truck,Auto Parts,0.82046914757849
174,Truck,Luxury Cars,0.8192234805537588
175,Car,Automotive,0.8459705413651517
176,Car,Travel,0.8403376031064662
177,Car,Station Wagon,0.8359852821544693
178,Car,Luxury Cars,0.83165015953488
179,Car,Minivan,0.8309922861282418
180,Car,SUV,0.8308897652858434
181,Car,Auto Parts,0.83023824857462
182,Car,Pets,0.8289455557926185
183,Car,Coupe,0.8272687016321445
184,Car,Auto Repair,0.8263339029921302
185,Car,Green Vehicles,0.8261823984786858
186,Car,Sports,0.825876300547582
187,Car,Auto Rentals,0.8242443680757503
188,Car,Beauty,0.8233484045079119
189,Car,Commercial Trucks,0.8228090921381609
190,Car,Convertible,0.821523511850283
191,Car,Auto Type,0.8215194138726429
192,Car,Shopping,0.8212982875552786
193,Tire,Auto Parts,0.8374728098240442
194,Tire,Automotive,0.83708005451738
195,Tire,SUV,0.8316401343738737
196,Tire,Coupe,0.8256834023222982
197,Tire,Motorcycles,0.8165137388967321
198,Tire,Auto Repair,0.8155849647146012
199,Tire,Station Wagon,0.8153668437237264
200,Tire,Minivan,0.8132209663039016
201,Tire,Commercial Trucks,0.8120248976597209
202,Tire,Convertible,0.8094420141995472
203,Tire,Shopping,0.808854406847241
204,Tire,Road-Side Assistance,0.8087935008796726
205,Tire,Green Vehicles,0.8079908768549913
206,Tire,Birds,0.8024909470783931
207,Tire,Auto Rentals,0.8023095321918143
208,trailer truck,Commercial Trucks,0.9158921489950054
209,trailer truck,Pickup Trucks,0.891986653621977
210,trailer truck,Minivan,0.8547570706548814
211,trailer truck,SUV,0.8504281029021098
212,trailer truck,Station Wagon,0.8229112282967886
213,trailer truck,Green Vehicles,0.8170378709556492
214,trailer truck,Road-Side Assistance,0.8166197829116674
215,trailer truck,Auto Rentals,0.8160616180301644
216,trailer truck,Automotive,0.8089670848582377
217,trailer truck,Rail Travel,0.8072240771561964
218,trailer truck,Motorcycles,0.8070870894225364
219,trailer truck,Cruises,0.8039310922181305
220,trailer truck,Camping,0.8034371799384669
221,trailer truck,Logistics and Transportation Industry,0.8033465971731096
222,trailer truck,Auto Shows,0.8031855037544985
