,Recommended Mapping Category,Relevancy Label,refSource,category,label,targetType,adword,mappingModality,version,targetLabel,score,version
0,,N,imagenet,fish,jellyfish,inclusion,Automotive,text+video,1,Automotive,0.384411484,1
1,,N,imagenet,clothing,oxygen mask,inclusion,Automotive,text+video,1,Automotive,0.384554171,1
2,,N,imagenet,clothing,brassiere,inclusion,Automotive,text+video,1,Automotive,0.385695675,1
3,,N,coco,COCO,Dining table,inclusion,Automotive,text+video,1,Automotive,0.385952513,1
4,"Home & Garden, Interior Decorating",L,openimage,OID,Mirror,inclusion,Automotive,text+video,1,Automotive,0.386994136,1
5,,N,imagenet,electronics,laptop,inclusion,Automotive,text+video,1,Automotive,0.388549434,1
6,,N,coco,COCO,Bicycle,inclusion,Automotive,text+video,1,Automotive,0.389020304,1
7,Business Finance || Construction Industry,L,imagenet,vehicle,crane,inclusion,Automotive,text+video,1,Automotive,0.389405562,1
8,,N,coco,COCO,Bed,inclusion,Automotive,text+video,1,Automotive,0.389862163,1
9,,N,coco,COCO,Clock,inclusion,Automotive,text+video,1,Automotive,0.390247421,1
10,,H,imagenet,technology,disk brake,inclusion,Automotive,text+video,1,Automotive,0.390547066,1
11,,N,imagenet,building,lumbermill,inclusion,Automotive,text+video,1,Automotive,0.390832442,1
12,Automotive || Auto Parts,H,Places2,,auto_factory,inclusion,Automotive,text+video,2,Automotive,0.824499489,"1,2"
13,Travel,H,imagenet,vehicle,cab,inclusion,Automotive,text+video,1,Automotive,0.391973945,1
14,,L,coco,COCO,Boat,inclusion,Automotive,text+video,1,Automotive,0.394042921,1
15,"Travel, Travel || Air Travel, Automotive,  Automotive ||  Auto Body Styles, Business & Finance || Hospitality Industry, Business & Finance || Logistics & Transportation Industry, Business & Finance || Aviation Industry, ",L,coco,COCO,Airplane,inclusion,Automotive,text+video,1,Automotive,0.394342565,1
16,,N,imagenet,other,perfume,inclusion,Automotive,text+video,1,Automotive,0.394827704,1
17,,N,imagenet,tool,crutch,inclusion,Automotive,text+video,1,Automotive,0.39511308,1
18,,H,imagenet,technology,car mirror,inclusion,Automotive,text+video,2,Automotive,0.768546604,"1,2"
19,Sports,H,imagenet,vehicle,racer,inclusion,Automotive,text+video,1,Automotive,0.399108343,1
20,,N,coco,COCO,Vase,inclusion,Automotive,text+video,1,Automotive,0.404616098,1
21,,H,imagenet,vehicle,grille,inclusion,Automotive,text+video,1,Automotive,0.408811124,1
22,,H,coco,COCO,Bus,inclusion,Automotive,text+video,1,Automotive,0.411607808,1
23,,H,coco,COCO,Motorbike,inclusion,Automotive,text+video,1,Automotive,0.479384587,1
24,,H,openimage,OID,Wheel,inclusion,Automotive,text+video,1,Automotive,0.50469743,1
25,Agriculture,H,imagenet,vehicle,tractor,inclusion,Automotive,text+video,2,Automotive,0.714664681,"1,2"
26,,H,imagenet,vehicle,convertible,inclusion,Automotive,text+video,2,Automotive,0.726173048,"1,2"
2561,,H,audio,,Acoustic guitar,inclusion,Hobbies & Interests|Musical Instruments,text+video,2,Hobbies & Interests|Musical Instruments,0.797353653,"1,2"
28,Automotive || Auto Parts,H,Places2,,auto_showroom,inclusion,Automotive,text+video,2,Automotive,0.82540481,"1,2"
29,"Automotive, Automotive || Auto Body Styles, Automotive || Luxury Car",H,imagenet,vehicle,sports car,inclusion,Automotive,text+video,1,Automotive,0.821467361,1
30,,H,imagenet,vehicle,passenger car,inclusion,Automotive,text+video,1,Automotive,0.824388696,1
31,,H,imagenet,vehicle,police van,inclusion,Automotive,text+video,1,Automotive,0.835158819,1
32,,H,imagenet,vehicle,pickup,inclusion,Automotive,text+video,1,Automotive,0.835344482,1
33,,H,imagenet,vehicle,minivan,inclusion,Automotive,text+video,1,Automotive,0.84507137,1
34,,H,coco,8,Truck,inclusion,Automotive,text+video,2,Automotive,0.711971204,"1,2"
35,,H,imagenet,vehicle,tow truck,inclusion,Automotive,text+video,1,Automotive,0.874615955,1
36,,H,coco,COCO,Car,inclusion,Automotive,text+video,2,Automotive,0.838521446,"1,2"
37,,N,imagenet,container,medicine chest,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.393679848,1
38,,N,coco,COCO,Dog,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.394295525,1
39,,N,openimage,OID,Building,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.395526877,1
40,,N,imagenet,paper,envelope,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.39652143,1
41,,N,openimage,OID,Whiteboard,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.398392138,1
42,,N,imagenet,tool,lighter,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.398415818,1
43,,N,Places2,,playroom,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.399977035,1
44,,N,imagenet,building,prison,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.408834951,1
45,,N,coco,COCO,Clock,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.412907885,1
46,,N,imagenet,electronics,slot,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.413097324,1
47,,N,coco,COCO,Book,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.421006394,1
48,,N,coco,COCO,Television,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.428252427,1
49,,N,imagenet,paper,menu,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.432041203,1
50,,N,coco,COCO,Stop sign,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.441276344,1
51,,N,coco,COCO,Laptop,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.445633436,1
52,,N,Places2,,drugstore,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.480094048,1
53,,N,coco,COCO,Refrigerator,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.497113426,1
54,,N,coco,COCO,Bottle,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.499220933,1
55,,N,openimage,OID,Poster,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.511155577,1
56,,N,openimage,192,Personal care,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.622559786,1
57,,N,coco,1,Person,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,0.644697428,1
58,,N,imagenet,technology,web site,inclusion,Automotive|||Individual Brands,text+video,1,Automotive|||Individual Brands,1,1
59,,H,imagenet,vehicle,pickup,inclusion,Automotive||Commercial Trucks,text+video,1,Automotive||Commercial Trucks,0.376344292,1
60,,H,openimage,OID,Wheel,inclusion,Automotive||Commercial Trucks,text+video,1,Automotive||Commercial Trucks,0.376458489,1
61,,L,coco,COCO,Boat,inclusion,Automotive||Commercial Trucks,text+video,1,Automotive||Commercial Trucks,0.37761315,1
62,,H,openimage,OID,Tire,inclusion,Automotive||Commercial Trucks,text+video,1,Automotive||Commercial Trucks,0.37873609,1
63,Sports,L,imagenet,vehicle,golfcart,inclusion,Automotive||Commercial Trucks,text+video,1,Automotive||Commercial Trucks,0.37977021,1
64,,N,coco,COCO,Suitcase,inclusion,Automotive||Commercial Trucks,text+video,1,Automotive||Commercial Trucks,0.379833653,1
65,,N,imagenet,technology,web site,inclusion,Automotive||Commercial Trucks,text+video,1,Automotive||Commercial Trucks,0.381165954,1
66,,H,coco,COCO,Bus,inclusion,Automotive||Commercial Trucks,text+video,1,Automotive||Commercial Trucks,0.383843245,1
67,,L,imagenet,vehicle,recreational vehicle,inclusion,Automotive||Commercial Trucks,text+video,1,Automotive||Commercial Trucks,0.385606958,1
68,Automotive || Jeep ,L,imagenet,vehicle,jeep,inclusion,Automotive||Commercial Trucks,text+video,1,Automotive||Commercial Trucks,0.394298639,1
69,,L,openimage,OID,Van,inclusion,Automotive||Commercial Trucks,text+video,1,Automotive||Commercial Trucks,0.407989621,1
70,,H,imagenet,vehicle,moving van,inclusion,Automotive||Commercial Trucks,text+video,2,Automotive||Commercial Trucks,0.804622187,"1,2"
