Original_name,New_name,Average Score
Hair Care,Hair Care,0.8275408939562465
Shaving,Shaving,0.8363005462445902
Motorcycles,Motorcycles,0.8198537608414167
Women's Formal Wear,Women's Dressy Attire,0.820796512409971
Women's Clothing,Female attire,0.8260958227032642
Retail Industry,Shops,0.8415545762939094
Comedy Events,Comedy Events,0.8116369519782506
Household Supplies,Housewares,0.8257902243609515
Home Security,Home Security,0.8118677124950026
Polar Travel,Polar Travel,0.8162623009321747
Auto Parts,Car accessories,0.8306762744783396
Awards Shows,Awards Shows,0.8218537807832149
Business and Finance,Trade,0.8090285157029403
Barbecues and Grilling,Grills,0.8232278661693775
Grocery Shopping,Food shopping,0.8248091106857787
Auto Body Styles,Car Models,0.8078342285671807
Cooking,Cooking,0.8343765533728827
Women's Handbags and Wallets,Women's Handbags and Wallets,0.82147643924936
Cruises,Cruises,0.8320964752090899
Coupe,Vehicle,0.8297300144293374
World Cuisines,International Cuisine,0.8252642126119265
Landscaping,Gardening,0.8403787792390666
Commercial Trucks,Cargo vehicles,0.8291580175013318
Video Gaming,Gaming,0.8184130976165604
Healthy Living,Fitness,0.8166349532329983
Men's Formal Wear,Men's Formal Wear,0.8193984861992154
Dating,Dating,0.828894743645423
Birthday,Party,0.8422032038914063
Wedding,Wedding,0.830708680027399
Museums & Galleries,Museums & Galleries,0.8172815140727494
Fitness and Exercise,Fitness training,0.8292832910820018
Education industry,Schooling realm,0.8167021248930828
Tablets and E-readers,Tablets and E-readers,0.8154938436811753
Retail Property,Shopping plaza,0.8330117183708735
Beach Travel,Beach Travel,0.8183102533803134
Outdoor Activities,Outdoor Activities,0.8345659710388335
Hotels and Motels,Hotels and Motels,0.8223960219318844
Space and Astronomy,Space and Astronomy,0.8175109093924197
Holiday Shopping,Holiday Shopping,0.843481171341058
Concerts & Music Events,Concerts & Music Events,0.8162418904550052
Auto Type,Car Kind,0.8213966763357473
Entertainment Industry,Showbiz,0.832500079048686
Travel Locations,Travel Locations,0.7955562371501864
Minivan,Minivan,0.8421891704763886
Smartphones,Cellphones,0.8494735347599712
Luxury Cars,Fancy cars,0.8232888775434549
Travel,Tour,0.813160003524469
Perfume and Fragrance,Perfume and Fragrance,0.8261780909153577
Alcoholic Beverages,Drinks,0.8438725290867148
Prom,Deal,0.8415295780070611
Parks & Nature,Outdoors,0.8270540471903268
Science,Sci,0.825718166464112
Rail Travel,Rail Travel,0.8377754087321098
Women's Jewelry and Watches,Women's Jewelry and Watches,0.8234847520941472
Convertible,Convertible,0.8266583349212931
Camping,Camping,0.8290101501636774
Telecommunications Industry,Telephony,0.8512094487299752
Reptiles,Lizards,0.8374659439086978
SUV,Truck,0.835194182563296
Men's Clothing,Guy's Attire,0.8265066624778364
Card Games,Playing Cards,0.825088697129695
Hobbies & Interests,Leisure,0.7935287446819035
Auto Repair,Car Fix,0.8266048637760006
College Education,Academics,0.8356955038919217
Birds,Birds,0.835032718421729
Home & Garden,Housewares,0.8071947306609303
Home Appliances,Home Appliances,0.8231861338936487
Auto Rentals,Car Rentals,0.8252997029972817
Van,Bus,0.8380292456418512
Europe Travel,Europe Travel,0.823180790471924
Pop Culture,Pop Culture,0.8162504097922019
Hotel Properties,Lodgings,0.8165325959531812
Flower Shopping,Flower Shopping,0.8210662009379611
Sedan,Sedan,0.7999391485395716
Laptops,Laptops,0.8405087338978241
Africa Travel,African Journey,0.8287248086788541
Women's Shoes and Footwear,Women's Footwear,0.8358543789188692
Logistics and Transportation Industry,Haulage,0.8498561876008776
Desserts and Baking,Pastries,0.8400028900849095
Music and Audio,Music and Audio,0.8285047445509968
Financial Industry,Investment,0.8398446925640195
Religious Events,Faith Gatherings,0.8223228867026452
Theater Venues and Events,Auditoriums,0.8266053122791166
Technology Industry,Technology Industry,0.8170035595523465
Technology & Computing,Computers,0.8221350758078813
Parenting,Parenting,0.8229657677595936
Fine Art,Artwork,0.8288510275245112
Events and Attractions,Festivals,0.7948128996772287
Bars & Restaurants,Eateries,0.8278944031756085
Nail Care,Nail grooming,0.8315593706375817
Pets,Animals,0.8085049224914276
Aviation Industry,Air industry,0.8511961310268895
Cinemas and Events,Cinemas and Events,0.8217707874233214
Games and Puzzles,Games and Puzzles,0.8083744306114439
North America Travel,USA Travel,0.8354071703224051
Family and Relationships,Kinship,0.7983054221759268
Consumer Electronics,Electronics,0.8200268935172323
Men's Casual Wear,Men's Informal Wear,0.8218278815649804
Food & Drink,Cuisine,0.8084973124661963
Malls & Shopping Centers,Shops,0.840070739460821
Media Industry,Film,0.8347109331850272
Green Vehicles,Green Vehicles,0.8199316489408487
Apartments,Apartments,0.8300613010760495
Large Animals,Large Animals,0.8195434742534138
Land and Farms,Land and Farms,0.815036675465356
Pickup Trucks,Trucks,0.8327516487226582
Sports,Sports,0.8357022376469385
Shopping,Shopping,0.8149444538631853
Remodeling & Construction,Renovation & Building,0.8187407585043942
Auto Shows,Auto Shows,0.8190128935707534
Automotive Industry,Car industry,0.8413309223741269
Office Property,Office Property,0.8209974874089506
Board Games and Puzzles,Jigsaw puzzles,0.8193063265808568
Houses,Houses,0.8372265513934719
Real Estate,Housing,0.8072069177872854
Medical Health,Medicine,0.8344735368374794
Beauty,Beauty,0.8144994081262347
Apparel Industry,Clothing business,0.8565337866292011
Religion & Spirituality,Religion & Spirituality,0.8160951549835451
Asia Travel,Asia Travel,0.8182676821049708
Food Industry,Food Industry,0.8195922319233354
Graduation,Graduation,0.8162379195896626
Travel Accessories,Travel gear,0.8198107471286926
Road-Side Assistance,Vehicle rescue,0.8227040488888916
Home Entertaining,Home Entertaining,0.819883905698534
Dining Out,Dining Out,0.8424148171256358
Smart Home,Tech Home,0.8255641993461476
Healthcare Industry,Health services,0.8530943741343872
Style & Fashion,Fashion,0.8100066935301117
Deodorant and Antiperspirant,Deodorant and Antiperspirant,0.8177957294461138
Fashion Events,Fashion Shows,0.8219318098608147
Gardening,Gardening,0.8333494940530625
Daycare and Pre-School,Nursery,0.8534290500521943
Single Life,Single Life,0.8194616316686327
Oral care,Oral hygiene,0.8174712481604158
Musical Instruments,Musical Instruments,0.831578834019246
Makeup and Accessories,Cosmetics,0.827554738590752
Bath and Shower,Bath and Shower,0.8451775489760741
Personal Celebrations & Life Events,Festivities,0.8005804498606112
Australia and Oceania Travel,Australia and Oceania Travel,0.8144100571082996
Wellness,Wellness,0.8268253167581145
Zoos & Aquariums,Zoos & Aquariums,0.8159128814777709
Cameras and Camcorders,Cameras and Camcorders,0.8177442955932023
Casinos & Gambling,Gaming,0.8240890445596271
Television,Television,0.8416137846081655
Home Improvement,Home Improvement,0.8133227159315343
Air Travel,Aviation,0.827378812643858
Station Wagon,Wagon,0.8433630454200515
South America Travel,South America Travel,0.8225222619073872
Desktops,Computers,0.8354911925242149
Automotive,Vehicle,0.8237266177261993
Children's Games and Toys,Child Playthings,0.8305172774476695
Hospitality Industry,Hotel business,0.8389563228575406
Movies,Movies,0.831475836871849
Dogs,Pups,0.8336148158297113
Education,Training,0.8330177506485366
Cats,Cats,0.8359728705563023
Primary Education,Primary Schooling,0.8293409841050746
Books and Literature,Books and Literature,0.8209665348190324
Non-Alcoholic Beverages,Soft Drinks,0.829750009481514
