IAB_Label,Count
Hair Care,73
Shaving,69
Motorcycles,167
Women's Formal Wear,59
Women's Clothing,96
Retail Industry,36
Comedy Events,17
Household Supplies,103
Home Security,29
Polar Travel,46
Auto Parts,74
Awards Shows,6
Business and Finance,34
Barbecues and Grilling,95
Grocery Shopping,126
Auto Body Styles,116
Cooking,108
Women's Handbags and Wallets,56
Cruises,27
Coupe,114
World Cuisines,60
Landscaping,30
Commercial Trucks,160
Video Gaming,91
Healthy Living,42
Men's Formal Wear,49
Dating,51
Birthday,22
Wedding,38
Museums & Galleries,57
Fitness and Exercise,26
Education industry,9
Tablets and E-readers,60
Retail Property,30
Beach Travel,67
Outdoor Activities,54
Hotels and Motels,10
Space and Astronomy,28
Holiday Shopping,27
Concerts & Music Events,64
Auto Type,91
Entertainment Industry,17
Travel Locations,60
Minivan,113
Smartphones,39
Luxury Cars,83
Travel,312
Perfume and Fragrance,34
Alcoholic Beverages,40
Prom,26
Parks & Nature,71
Science,72
Rail Travel,54
Women's Jewelry and Watches,28
Convertible,54
Camping,102
Telecommunications Industry,15
Reptiles,63
SUV,151
Men's Clothing,68
Card Games,46
Hobbies & Interests,144
Auto Repair,68
College Education,10
Birds,144
Home & Garden,181
Home Appliances,146
Auto Rentals,84
Van,10
Europe Travel,7
Pop Culture,65
Hotel Properties,21
Flower Shopping,83
Sedan,5
Laptops,72
Africa Travel,19
Women's Shoes and Footwear,26
Logistics and Transportation Industry,5
Desserts and Baking,77
Music and Audio,106
Financial Industry,4
Religious Events,11
Theater Venues and Events,33
Technology Industry,12
Technology & Computing,124
Parenting,24
Fine Art,42
Events and Attractions,150
Bars & Restaurants,68
Nail Care,41
Pets,359
Aviation Industry,14
Cinemas and Events,34
Games and Puzzles,44
North America Travel,3
Family and Relationships,37
Consumer Electronics,131
Men's Casual Wear,54
Food & Drink,216
Malls & Shopping Centers,50
Media Industry,22
Green Vehicles,133
Apartments,32
Large Animals,108
Land and Farms,52
Pickup Trucks,103
Sports,159
Shopping,266
Remodeling & Construction,15
Auto Shows,44
Automotive Industry,34
Office Property,42
Board Games and Puzzles,46
Houses,38
Real Estate,72
Medical Health,12
Beauty,187
Apparel Industry,11
Religion & Spirituality,30
Asia Travel,16
Food Industry,43
Graduation,23
Travel Accessories,130
Road-Side Assistance,76
Home Entertaining,77
Dining Out,53
Smart Home,33
Healthcare Industry,3
Style & Fashion,255
Deodorant and Antiperspirant,22
Fashion Events,15
Gardening,70
Daycare and Pre-School,12
Single Life,7
Oral care,32
Musical Instruments,215
Makeup and Accessories,63
Bath and Shower,44
Personal Celebrations & Life Events,22
Australia and Oceania Travel,5
Wellness,19
Zoos & Aquariums,52
Cameras and Camcorders,43
Casinos & Gambling,14
Television,59
Home Improvement,72
Air Travel,71
Station Wagon,90
South America Travel,5
Desktops,49
Automotive,318
Children's Games and Toys,40
Hospitality Industry,7
Movies,97
Dogs,238
Education,51
Cats,97
Primary Education,9
Books and Literature,58
Non-Alcoholic Beverages,32
