IAB_Label,Count
Hair Care,69
Shaving,68
Motorcycles,123
Women's Formal Wear,70
Women's Clothing,150
Retail Industry,134
Comedy Events,14
Household Supplies,211
Home Security,22
Polar Travel,36
Auto Parts,125
Awards Shows,6
Business and Finance,372
Barbecues and Grilling,220
Grocery Shopping,134
Auto Body Styles,182
Cooking,104
Women's Handbags and Wallets,45
Cruises,24
Coupe,260
World Cuisines,86
Landscaping,68
Commercial Trucks,165
Video Gaming,154
Healthy Living,224
Men's Formal Wear,45
Dating,47
Birthday,600
Wedding,39
Museums & Galleries,48
Fitness and Exercise,38
Education industry,21
Tablets and E-readers,51
Retail Property,148
Beach Travel,55
Outdoor Activities,53
Hotels and Motels,7
Space and Astronomy,21
Holiday Shopping,28
Concerts & Music Events,57
Auto Type,168
Entertainment Industry,66
Travel Locations,44
Minivan,110
Smartphones,76
Luxury Cars,89
Travel,411
Perfume and Fragrance,26
Alcoholic Beverages,130
Prom,110
Parks & Nature,56
Science,101
Rail Travel,55
Women's Jewelry and Watches,23
Convertible,45
Camping,90
Telecommunications Industry,69
Reptiles,89
SUV,189
Men's Clothing,101
Card Games,82
Hobbies & Interests,148
Auto Repair,104
College Education,33
Birds,132
Home & Garden,130
Home Appliances,127
Auto Rentals,102
Van,121
Europe Travel,6
Pop Culture,51
Hotel Properties,65
Flower Shopping,73
Sedan,2
Laptops,68
Africa Travel,26
Women's Shoes and Footwear,30
Logistics and Transportation Industry,70
Desserts and Baking,299
Music and Audio,97
Financial Industry,12
Religious Events,11
Theater Venues and Events,65
Technology Industry,8
Technology & Computing,104
Parenting,73
Fine Art,261
Events and Attractions,372
Bars & Restaurants,62
Nail Care,81
Pets,392
Aviation Industry,18
Cinemas and Events,30
Games and Puzzles,115
North America Travel,8
Family and Relationships,92
Consumer Electronics,190
Men's Casual Wear,71
Food & Drink,260
Malls & Shopping Centers,37
Media Industry,281
Green Vehicles,106
Apartments,31
Large Animals,100
Land and Farms,39
Pickup Trucks,216
Sports,146
Shopping,352
Remodeling & Construction,13
Auto Shows,25
Automotive Industry,85
Office Property,41
Board Games and Puzzles,154
Houses,38
Real Estate,131
Medical Health,141
Beauty,164
Apparel Industry,93
Religion & Spirituality,26
Asia Travel,13
Food Industry,36
Graduation,17
Travel Accessories,180
Road-Side Assistance,134
Home Entertaining,68
Dining Out,51
Smart Home,102
Healthcare Industry,14
Style & Fashion,199
Deodorant and Antiperspirant,20
Fashion Events,17
Gardening,67
Daycare and Pre-School,236
Single Life,7
Oral care,32
Musical Instruments,187
Makeup and Accessories,92
Bath and Shower,39
Personal Celebrations & Life Events,25
Australia and Oceania Travel,5
Wellness,17
Zoos & Aquariums,44
Cameras and Camcorders,36
Casinos & Gambling,11
Television,57
Home Improvement,55
Air Travel,121
Station Wagon,182
South America Travel,5
Desktops,95
Automotive,414
Children's Games and Toys,191
Hospitality Industry,36
Movies,85
Dogs,231
Education,100
Cats,93
Primary Education,14
Books and Literature,44
Non-Alcoholic Beverages,69
