,item,predictions,cosine_predicted
0,crane,Birds,0.8378298199884091
1,crane,Commercial Trucks,0.8277898476538564
2,crane,Cruises,0.8265106621144949
3,crane,Pickup Trucks,0.8205483425952855
4,crane,Convertible,0.8165465299366603
5,crane,Cats,0.8131685746414574
6,crane,SUV,0.8124236745740587
7,crane,Coupe,0.8113171293708001
8,crane,Minivan,0.8110019042756476
9,crane,Travel,0.8097327774471119
10,crane,Camping,0.8066541671929572
11,crane,Large Animals,0.8063082818796277
12,crane,Motorcycles,0.8005819457410236
13,crane,Musical Instruments,0.799016313259347
14,crane,Auto Type,0.7975614249320533
15,crane,Air Travel,0.7953092075361364
16,crane,Cameras and Camcorders,0.7941351511964554
17,crane,Green Vehicles,0.7930826794935295
18,crane,Grocery Shopping,0.7873664503890353
19,crane,Barbecues and Grilling,0.7856139088274083
20,crane,Auto Repair,0.7851904356582423
21,crane,Aviation Industry,0.7850857439961673
22,disk brake,No_Pred,0.0
23,auto_factory,Auto Type,0.9055098017340024
24,auto_factory,Auto Repair,0.8598426449097236
25,auto_factory,Auto Parts,0.8533379746658819
26,auto_factory,Auto Shows,0.8457480531999029
27,auto_factory,Automotive,0.8384441330680961
28,auto_factory,Auto Body Styles,0.8375301116549938
29,auto_factory,Automotive Industry,0.8276662340548573
30,auto_factory,Auto Rentals,0.8274624720760604
31,auto_factory,Luxury Cars,0.8030960428927147
32,auto_factory,Green Vehicles,0.7950881296620822
33,auto_factory,Commercial Trucks,0.790029216233771
34,auto_factory,Pickup Trucks,0.7888876224235798
35,auto_factory,Home Appliances,0.7870634454646759
36,cab,Coupe,0.8393503176519492
37,cab,SUV,0.8297233402149344
38,cab,Station Wagon,0.8285661352969934
39,cab,Commercial Trucks,0.8277407860150747
40,cab,Travel,0.8252315056089132
41,cab,Minivan,0.8249323892413947
42,cab,Convertible,0.8231886196188771
43,cab,Pickup Trucks,0.8200567503380651
44,cab,Motorcycles,0.8014964335343451
45,cab,Luxury Cars,0.799956688398429
46,cab,Auto Rentals,0.7988901205077594
47,cab,Green Vehicles,0.7980476441309109
48,cab,Van,0.7968601638323969
49,cab,Road-Side Assistance,0.7959523256782199
50,cab,Auto Body Styles,0.7857341618309164
51,car mirror,Auto Parts,0.8360381050576181
52,car mirror,Auto Repair,0.8321949567274403
53,car mirror,SUV,0.8309413850113094
54,car mirror,Auto Body Styles,0.8309205680398681
55,car mirror,Minivan,0.8285399546226693
56,car mirror,Automotive,0.8258208854566708
57,car mirror,Auto Shows,0.8252498875492357
58,car mirror,Luxury Cars,0.8197314046954434
59,car mirror,Auto Type,0.8195683609452084
60,car mirror,Coupe,0.8190308589667551
61,car mirror,Green Vehicles,0.814058523187095
62,car mirror,Station Wagon,0.8123699525580713
63,car mirror,Commercial Trucks,0.808658398257997
64,car mirror,Road-Side Assistance,0.8060557896275028
65,car mirror,Beauty,0.8053233570562872
66,car mirror,Travel Accessories,0.8012822109477202
67,car mirror,Automotive Industry,0.800991014368215
68,car mirror,Pickup Trucks,0.8000595136933029
69,car mirror,Auto Rentals,0.797332343670469
70,car mirror,Makeup and Accessories,0.7957067405936499
71,car mirror,Home Appliances,0.7925915251135937
72,car mirror,Hair Care,0.7924261062029597
73,car mirror,Motorcycles,0.7917955297814623
74,car mirror,Consumer Electronics,0.7897805553201014
75,car mirror,Home Improvement,0.7891997366216346
76,car mirror,Home Security,0.7888741706119448
77,car mirror,Cameras and Camcorders,0.7859642030569318
78,racer,SUV,0.8290563362893257
79,racer,Coupe,0.8289848072853552
80,racer,Convertible,0.8208302052429965
81,racer,Motorcycles,0.8134362270139028
82,racer,Sports,0.813338826325853
83,racer,Minivan,0.8129312077342791
84,racer,Games and Puzzles,0.8057909509480186
85,racer,Luxury Cars,0.7996343552204237
86,racer,Pickup Trucks,0.7965443733657462
87,racer,Green Vehicles,0.7950534272814263
88,racer,Video Gaming,0.7915825810191938
89,racer,Auto Rentals,0.7914741179099672
90,racer,Commercial Trucks,0.789785079385553
91,racer,Auto Type,0.7895275942437626
92,racer,Board Games and Puzzles,0.788793067979541
93,racer,Polar Travel,0.7873767717996782
94,Motorbike,Motorcycles,0.9548627324766569
95,Motorbike,SUV,0.8448876184119471
96,Motorbike,Minivan,0.8429907886519661
97,Motorbike,Automotive,0.8339627934525058
98,Motorbike,Laptops,0.8254684691203468
99,Motorbike,Travel Accessories,0.824100282331635
100,Motorbike,Green Vehicles,0.8229638644227901
101,Motorbike,Rail Travel,0.8209615117410146
102,Motorbike,Coupe,0.8208371344134063
103,Motorbike,Commercial Trucks,0.8163234611145067
104,Motorbike,Travel,0.8151614877360225
105,Motorbike,Luxury Cars,0.8151458404129057
106,Motorbike,Road-Side Assistance,0.814123937824009
107,Motorbike,Smartphones,0.8139562042969589
108,Motorbike,Auto Rentals,0.8129887752868633
109,Motorbike,Television,0.8109880979540277
110,Motorbike,Musical Instruments,0.8106490074440813
111,Motorbike,Outdoor Activities,0.8105792126723969
112,Motorbike,Station Wagon,0.8087360830762476
113,Motorbike,Home Appliances,0.8081462748340871
114,Motorbike,Wedding,0.808041696748916
115,Motorbike,Shopping,0.8071956157816984
116,Motorbike,Dogs,0.807184679187754
117,Motorbike,Camping,0.8069932218582335
118,Motorbike,Shaving,0.8068971557402451
119,Motorbike,Air Travel,0.8063600424055551
120,Motorbike,Large Animals,0.8020924796580081
121,Motorbike,Pickup Trucks,0.80196695802982
122,Motorbike,Auto Parts,0.8012992837688904
123,Motorbike,Asia Travel,0.8003043261553374
124,Motorbike,Beach Travel,0.7974095609619276
125,Motorbike,Polar Travel,0.7970177386196999
126,Motorbike,Auto Repair,0.7964425716738168
127,Motorbike,Automotive Industry,0.7963644846376416
128,Motorbike,Men's Clothing,0.7959113761029425
129,Motorbike,Consumer Electronics,0.7953687222453211
130,Motorbike,Auto Type,0.7952475569284498
131,Motorbike,Travel Locations,0.7939925734200676
132,Motorbike,Women's Clothing,0.7939100552322503
133,Motorbike,Video Gaming,0.7909919714002139
134,Motorbike,Cameras and Camcorders,0.7903727858100651
135,Motorbike,Food & Drink,0.7896339464443072
136,Motorbike,Auto Shows,0.7881807388374809
137,Motorbike,Real Estate,0.7879480878380831
138,Motorbike,Men's Casual Wear,0.7877385461462009
139,Motorbike,Style & Fashion,0.7877306880969828
140,Motorbike,Tablets and E-readers,0.7868640136137082
141,Motorbike,Women's Handbags and Wallets,0.7862814049639659
142,Motorbike,Medical Health,0.7862674325467824
143,Motorbike,Books and Literature,0.7862490921658721
144,Wheel,Travel,0.8319921564562817
145,Wheel,Station Wagon,0.8278074189211245
146,Wheel,Motorcycles,0.8236241499176868
147,Wheel,Sports,0.8189843673996874
148,Wheel,Convertible,0.8186633329975261
149,Wheel,Minivan,0.8168494892632121
150,Wheel,Beauty,0.813582025121248
151,Wheel,SUV,0.8133221962979378
152,Wheel,Coupe,0.8121057899498267
153,Wheel,Movies,0.8103648816053313
154,Wheel,Commercial Trucks,0.8084790071113368
155,Wheel,Auto Parts,0.8062543926636125
156,Wheel,Shopping,0.8053541002120819
157,Wheel,Green Vehicles,0.8041217907340772
158,Wheel,Pickup Trucks,0.8016299009173373
159,Wheel,Auto Body Styles,0.7962510919021994
160,Wheel,Musical Instruments,0.7959215531924042
161,Wheel,Travel Accessories,0.7950373868174946
162,Wheel,Auto Rentals,0.7944710544076222
163,Wheel,Luxury Cars,0.7943216591701252
164,Wheel,Auto Type,0.7931372978630731
165,Wheel,Auto Repair,0.7926355428145012
166,Wheel,Road-Side Assistance,0.7920745708876954
167,Wheel,Large Animals,0.7907804359585171
168,Wheel,Birthday,0.7893763397830779
169,Wheel,Board Games and Puzzles,0.7893539275019488
170,Wheel,Card Games,0.789061137499244
171,Wheel,Auto Shows,0.7885217509130948
172,convertible,Convertible,0.9077280283872271
173,convertible,Minivan,0.8442130295316695
174,convertible,Coupe,0.8435414403870316
175,convertible,SUV,0.8386518226810723
176,convertible,Station Wagon,0.8295642516856778
177,convertible,Green Vehicles,0.8196459099845412
178,convertible,Automotive,0.8196432225968311
179,convertible,Luxury Cars,0.8173417689689353
180,convertible,Commercial Trucks,0.8127211734529327
181,convertible,Pickup Trucks,0.8039628061823924
182,convertible,Auto Shows,0.8038729453297777
183,convertible,Auto Type,0.8013118973369292
184,convertible,Auto Rentals,0.7977802132818725
185,convertible,Motorcycles,0.7958297682130764
186,convertible,Travel Accessories,0.7908971082731167
187,convertible,Automotive Industry,0.7892079053849314
188,convertible,Auto Body Styles,0.7860185874336081
189,convertible,Air Travel,0.7854514782602715
190,Acoustic guitar,Musical Instruments,0.8852981146832861
191,Acoustic guitar,Music and Audio,0.8265893322635476
192,Acoustic guitar,Laptops,0.8083074019040921
193,Acoustic guitar,Consumer Electronics,0.8020799088873092
194,Acoustic guitar,Home Appliances,0.7998553173831016
195,Acoustic guitar,Motorcycles,0.7987912442578421
196,Acoustic guitar,Travel Accessories,0.7953757061891992
197,Acoustic guitar,Concerts & Music Events,0.7943880270488105
198,Acoustic guitar,Pickup Trucks,0.7939136627482721
199,Acoustic guitar,Video Gaming,0.7903515630579878
200,Acoustic guitar,Fine Art,0.7886472637143312
201,Acoustic guitar,Green Vehicles,0.7859787050898711
202,Acoustic guitar,Card Games,0.7857202143005735
203,Acoustic guitar,Children's Games and Toys,0.7851090641544102
204,auto_showroom,Auto Shows,0.9117273044785971
205,auto_showroom,Auto Repair,0.8825967258473619
206,auto_showroom,Automotive,0.8746208093559149
207,auto_showroom,Auto Parts,0.8740694321338718
208,auto_showroom,Automotive Industry,0.8631904064952725
209,auto_showroom,Auto Type,0.8606806276258612
210,auto_showroom,Auto Rentals,0.8602121009321413
211,auto_showroom,Luxury Cars,0.8558164054049593
212,auto_showroom,Auto Body Styles,0.850121192075571
