,item,predictions,cosine_predicted
0,crane,SUV,0.860242637914451
1,crane,Pickup Trucks,0.8457053392969772
2,crane,Birds,0.8378298199884091
3,crane,Coupe,0.8294788047372794
4,crane,Automotive,0.8294788047372794
5,crane,Cruises,0.8265106621144949
6,crane,Road-Side Assistance,0.8244622461596139
7,crane,Air Travel,0.8209030387581852
8,crane,Logistics and Transportation Industry,0.8206287898165177
9,crane,Travel,0.820404894162285
10,crane,Commercial Trucks,0.8194083695017238
11,crane,Barbecues and Grilling,0.8184640622250923
12,crane,Daycare and Pre-School,0.8172357135215793
13,crane,Birthday,0.814663639896712
14,crane,Media Industry,0.8143382358114254
15,disk brake,Laptops,0.7678661001998704
16,auto_factory,Auto Shows,0.8457480531999029
17,auto_factory,Auto Repair,0.8330379090968154
18,auto_factory,Automotive Industry,0.8284165098318577
19,auto_factory,Auto Parts,0.8261105315598529
20,auto_factory,Auto Type,0.8227235033054584
21,auto_factory,Auto Body Styles,0.8175603004549015
22,auto_factory,Luxury Cars,0.8072700766132624
23,auto_factory,Automotive,0.8103793048682224
24,auto_factory,Business and Finance,0.7750741152729292
25,cab,Van,0.8796247092561034
26,cab,Coupe,0.8604029215611904
27,cab,Automotive,0.8604029215611904
28,cab,Travel,0.8498416923783335
29,cab,Commercial Trucks,0.8414177843298043
30,cab,Station Wagon,0.83529593819152
31,cab,SUV,0.8337919262361275
32,cab,Pickup Trucks,0.8267276998843387
33,cab,Minivan,0.8249323892413947
34,cab,Convertible,0.8231886196188771
35,cab,Birthday,0.8143002350208377
36,cab,Road-Side Assistance,0.8124279106138025
37,cab,Auto Rentals,0.8121693478250446
38,cab,Business and Finance,0.8116614855950709
39,cab,Auto Type,0.8113259901267287
40,car mirror,Auto Parts,0.8711173260558875
41,car mirror,Auto Repair,0.8602025138709847
42,car mirror,Auto Body Styles,0.8535507169615447
43,car mirror,Auto Type,0.8477590128282457
44,car mirror,Coupe,0.8464312028885532
45,car mirror,Automotive,0.8464312028885532
46,car mirror,Automotive Industry,0.8322213554885929
47,car mirror,Minivan,0.8285399546226693
48,car mirror,Auto Shows,0.8252498875492357
49,car mirror,Commercial Trucks,0.8202626788462751
50,car mirror,Luxury Cars,0.8175845938691743
51,car mirror,Road-Side Assistance,0.8158291601365113
52,car mirror,Green Vehicles,0.814058523187095
53,car mirror,Makeup and Accessories,0.8015853370081661
54,car mirror,Auto Rentals,0.8005643641293065
55,racer,Station Wagon,0.8337009011708687
56,racer,Coupe,0.8332040678180135
57,racer,Automotive,0.8332040678180135
58,racer,Travel,0.8292115570093874
59,racer,SUV,0.8266411694717152
60,racer,Luxury Cars,0.821876331619271
61,racer,Convertible,0.8208302052429965
62,racer,Birthday,0.8180210990273719
63,racer,Healthy Living,0.8148700202926298
64,racer,Video Gaming,0.8147943584096542
65,racer,Motorcycles,0.8134362270139028
66,racer,Auto Type,0.8084644706257068
67,racer,Pickup Trucks,0.8084415085330466
68,racer,Media Industry,0.8082657507225024
69,racer,Road-Side Assistance,0.8075658411365108
70,Motorbike,Motorcycles,0.9548627324766569
71,Motorbike,Coupe,0.8651288097903858
72,Motorbike,Automotive,0.8651288097903858
73,Motorbike,SUV,0.8605641549968267
74,Motorbike,Minivan,0.8429907886519661
75,Motorbike,Pickup Trucks,0.8374607456573215
76,Motorbike,Travel Accessories,0.8364429054775551
77,Motorbike,Station Wagon,0.8348850388000589
78,Motorbike,Travel,0.8318363312793049
79,Motorbike,Commercial Trucks,0.831162206881605
80,Motorbike,Auto Body Styles,0.830006132874012
81,Motorbike,Road-Side Assistance,0.8285855284521224
82,Motorbike,Auto Rentals,0.8285389210896819
83,Motorbike,Auto Type,0.8270708777027707
84,Motorbike,Laptops,0.8254684691203468
85,Motorbike,Auto Parts,0.824827931895592
86,Motorbike,Smartphones,0.8238190215898048
87,Motorbike,Green Vehicles,0.8229638644227901
