IAB_Label,Count
Hair Care,169
Shaving,116
Motorcycles,238
Women's Formal Wear,120
Women's Clothing,175
Retail Industry,97
Comedy Events,99
Household Supplies,252
Home Security,98
Polar Travel,122
Auto Parts,151
Awards Shows,52
Business and Finance,155
Barbecues and Grilling,196
Grocery Shopping,235
Auto Body Styles,285
Cooking,204
Women's Handbags and Wallets,111
Cruises,150
Coupe,163
World Cuisines,84
Landscaping,115
Commercial Trucks,235
Video Gaming,176
Healthy Living,144
Men's Formal Wear,91
Dating,344
Birthday,192
Wedding,160
Museums & Galleries,211
Fitness and Exercise,62
Education industry,63
Tablets and E-readers,81
Retail Property,85
Beach Travel,167
Outdoor Activities,208
Hotels and Motels,58
Space and Astronomy,140
Holiday Shopping,100
Concerts & Music Events,106
Auto Type,143
Entertainment Industry,79
Travel Locations,202
Minivan,174
Smartphones,79
Luxury Cars,121
Travel,1078
Perfume and Fragrance,70
Alcoholic Beverages,45
Prom,295
Parks & Nature,218
Science,466
Rail Travel,138
Women's Jewelry and Watches,56
Convertible,488
Camping,254
Telecommunications Industry,39
Reptiles,81
SUV,238
Men's Clothing,141
Card Games,142
Hobbies & Interests,128
Auto Repair,144
College Education,79
Birds,282
Home & Garden,409
Home Appliances,293
Auto Rentals,128
Van,34
Europe Travel,43
Pop Culture,144
Hotel Properties,66
Flower Shopping,213
Sedan,12
Laptops,98
Africa Travel,50
Women's Shoes and Footwear,60
Logistics and Transportation Industry,36
Desserts and Baking,119
Music and Audio,155
Financial Industry,457
Religious Events,227
Theater Venues and Events,119
Technology Industry,165
Technology & Computing,111
Parenting,43
Fine Art,236
Events and Attractions,612
Bars & Restaurants,108
Nail Care,145
Pets,39
Aviation Industry,72
Cinemas and Events,180
Games and Puzzles,172
North America Travel,58
Family and Relationships,1278
Consumer Electronics,135
Men's Casual Wear,426
Food & Drink,1241
Malls & Shopping Centers,82
Media Industry,314
Green Vehicles,226
Apartments,87
Large Animals,125
Land and Farms,82
Pickup Trucks,1072
Sports,37
Shopping,348
Remodeling & Construction,195
Auto Shows,59
Automotive Industry,61
Office Property,78
Board Games and Puzzles,82
Houses,77
Real Estate,630
Medical Health,58
Beauty,182
Apparel Industry,240
Religion & Spirituality,102
Asia Travel,83
Food Industry,80
Graduation,57
Travel Accessories,469
Road-Side Assistance,183
Home Entertaining,117
Dining Out,559
Smart Home,66
Healthcare Industry,49
Style & Fashion,1425
Deodorant and Antiperspirant,209
Fashion Events,1169
Gardening,106
Daycare and Pre-School,57
Single Life,1238
Oral care,898
Musical Instruments,39
Makeup and Accessories,224
Bath and Shower,193
Personal Celebrations & Life Events,214
Australia and Oceania Travel,132
Wellness,34
Zoos & Aquariums,138
Cameras and Camcorders,73
Casinos & Gambling,915
Television,122
Home Improvement,285
Air Travel,124
Station Wagon,5
South America Travel,43
Desktops,31
Automotive,242
Children's Games and Toys,194
Hospitality Industry,37
Movies,82
Dogs,28
Education,41
Cats,26
Primary Education,114
Books and Literature,111
Non-Alcoholic Beverages,34
