,item,predictions,cosine_predicted
0,3D CG rendering,Video Gaming,[0.82569281]
1,3D CG rendering,Technology & Computing,[0.79740012]
2,3D CG rendering,Landscaping,[0.79509422]
3,3D CG rendering,Desktops,[0.79475825]
4,3D CG rendering,Fine Art,[0.79420968]
5,3D CG rendering,Movies,[0.7868213]
6,3D CG rendering,Real Estate,[0.78681252]
7,3D glasses,Consumer Electronics,[0.83241015]
8,3D glasses,Smartphones,[0.83229595]
9,3D glasses,Laptops,[0.83169013]
10,3D glasses,Video Gaming,[0.82749727]
11,3D glasses,Tablets and E-readers,[0.82460152]
12,3D glasses,Cameras and Camcorders,[0.81314169]
13,3D glasses,Television,[0.8101605]
14,3D glasses,Desktops,[0.8070758]
15,3D glasses,Travel Accessories,[0.8034263]
16,3D glasses,Makeup and Accessories,[0.8029773]
17,3D glasses,Shopping,[0.79654321]
18,3D glasses,Movies,[0.79584718]
19,3D glasses,Games and Puzzles,[0.79558043]
20,3D glasses,Science,[0.79197259]
21,3D glasses,Board Games and Puzzles,[0.79178445]
22,3D glasses,Technology & Computing,[0.79008518]
23,3D glasses,Children's Games and Toys,[0.78952461]
24,3D glasses,Women's Jewelry and Watches,[0.78772782]
25,3D glasses,Home Appliances,[0.78752746]
26,3D glasses,Polar Travel,[0.78751488]
27,3D glasses,Holiday Shopping,[0.78729946]
28,3D glasses,Sports,[0.78714257]
29,3D glasses,Motorcycles,[0.78594519]
30,3D glasses,Green Vehicles,[0.78572005]
31,3D glasses,Men's Clothing,[0.78548321]
32,3D glasses,Smart Home,[0.7853452]
33,abacus,Science,[0.80426652]
34,abacus,Desktops,[0.80086466]
35,abacus,Laptops,[0.7993704]
36,abacus,Convertible,[0.79932832]
37,abacus,Space and Astronomy,[0.79730793]
38,abacus,Technology & Computing,[0.79705307]
39,abacus,Graduation,[0.79583742]
40,abacus,Games and Puzzles,[0.7945797]
41,abacus,Education,[0.79401702]
42,abacus,Houses,[0.79264552]
43,abacus,Shopping,[0.79251952]
44,abacus,Musical Instruments,[0.79145427]
45,abacus,Cats,[0.78663337]
46,abacus,Travel,[0.78559651]
47,abacus,Television,[0.78556471]
48,abalone,Birds,[0.80670627]
49,abalone,Beauty,[0.79522981]
50,abalone,Alcoholic Beverages,[0.79501735]
51,abalone,Cooking,[0.79489248]
52,abalone,Reptiles,[0.79451585]
53,abalone,Shopping,[0.79382438]
54,abalone,Sports,[0.79257926]
55,abalone,Cruises,[0.79062292]
56,abalone,Cats,[0.79018854]
57,abalone,Large Animals,[0.78925467]
58,abalone,Dating,[0.78902893]
59,abalone,Camping,[0.78872753]
60,abalone,Dining Out,[0.78716532]
61,abalone,Shaving,[0.78656899]
62,abalone,Outdoor Activities,[0.78650958]
63,abalone,Travel,[0.78588082]
64,monastery,Apartments,[0.81110206]
65,monastery,Houses,[0.80709443]
66,monastery,Museums & Galleries,[0.80344175]
67,monastery,Camping,[0.80327966]
68,monastery,Religious Events,[0.80234943]
69,monastery,Wedding,[0.80215035]
70,monastery,Religion & Spirituality,[0.79993669]
71,monastery,Desktops,[0.79963445]
72,monastery,Gardening,[0.79886756]
73,monastery,Beauty,[0.79623306]
74,monastery,Shopping,[0.79601333]
75,monastery,Graduation,[0.7914261]
76,monastery,Education,[0.79075966]
77,monastery,Travel,[0.78904404]
78,monastery,Birds,[0.7885613]
79,monastery,Wellness,[0.78843153]
80,monastery,Land and Farms,[0.78742336]
81,monastery,Cats,[0.78631653]
82,monastery,Science,[0.78538273]
83,belly,Beauty,[0.82117289]
84,belly,Wellness,[0.79626255]
85,belly,Wedding,[0.78904294]
86,belly,Birds,[0.78645492]
87,belly,Travel,[0.78611763]
88,belly,Cats,[0.78553169]
89,academy,Education,[0.83665774]
90,academy,Sports,[0.82889521]
91,academy,Graduation,[0.82611236]
92,academy,Science,[0.82570432]
93,academy,College Education,[0.8253897]
94,academy,Education industry,[0.81922662]
95,academy,Movies,[0.81792957]
96,academy,Museums & Galleries,[0.80967202]
97,academy,Shopping,[0.80720635]
98,academy,Prom,[0.80706462]
99,academy,Primary Education,[0.80466085]
100,academy,Camping,[0.80442009]
